code,pop,name,perc,logperc
48155,1307,"Foard County, TX",4.1635601899169595e-06,-12.389140034807971
48157,627293,"Fort Bend County, TX",0.0019982954569346435,-6.215460733344739
48159,10640,"Franklin County, TX",3.389462924308833e-05,-10.292253985536558
48161,19515,"Freestone County, TX",6.216670015778842e-05,-9.685691068817478
48163,17702,"Frio County, TX",5.639123372755166e-05,-9.78319684190337
48165,18413,"Gaines County, TX",5.865618498618284e-05,-9.743817532564973
48167,300484,"Galveston County, TX",0.0009572174599135483,-6.951479961484683
48169,6412,"Garza County, TX",2.0425973938597968e-05,-10.79870323470275
48171,25153,"Gillespie County, TX",8.012703095407902e-05,-9.431897295723878
48173,1259,"Glasscock County, TX",4.0106520880684405e-06,-12.426556714387846
48175,7351,"Goliad County, TX",2.3417238681009618e-05,-10.662038111058106
48177,20045,"Gonzales County, TX",6.385506044903248e-05,-9.658894723355585
48179,22978,"Gray County, TX",7.319838258906801e-05,-9.522337233018883
48181,121935,"Grayson County, TX",0.0003884343624770654,-7.853386353583411
48183,122658,"Gregg County, TX",0.00039073754076115867,-7.84747447461913
48185,26783,"Grimes County, TX",8.531953524601831e-05,-9.369107111562807
48187,139841,"Guadalupe County, TX",0.00044547545563747325,-7.716368406538651
48189,36385,"Hale County, TX",0.00011590752678663242,-9.062717867651006
48191,3293,"Hall County, TX",1.0490132903899425e-05,-11.46507546605583
48193,8307,"Hamilton County, TX",2.6462658376159283e-05,-10.539775936593122
48195,5521,"Hansford County, TX",1.7587617298034838e-05,-10.948315466148149
48197,4082,"Hardeman County, TX",1.3003559828034452e-05,-11.250287405062403
48199,55190,"Hardin County, TX",0.00017581246127124482,-8.646092691998646
48201,4253700,"Harris County, TX",0.013550524850688424,-4.301329998038434
48203,67450,"Harrison County, TX",0.00021486773895172066,-8.445487886796291
48205,6144,"Hartley County, TX",1.9572237036610404e-05,-10.841398473604684
48207,5901,"Haskell County, TX",1.879813977100228e-05,-10.881752641375025
48209,168990,"Hays County, TX",0.0005383320860704414,-7.527034927875324
48211,4080,"Hemphill County, TX",1.2997188657124097e-05,-11.250777481033985
48213,79094,"Henderson County, TX",0.0002519606959918072,-8.286237450903648
48215,806552,"Hidalgo County, TX",0.0025693403200443025,-5.9641060978318565
48217,35115,"Hill County, TX",0.00011186183325855702,-9.098246079839072
48219,23072,"Hockley County, TX",7.34978276218547e-05,-9.518254708347518
48221,52044,"Hood County, TX",0.0001657906094292565,-8.704784954808826
48223,35469,"Hopkins County, TX",0.00011298953050968985,-9.08821539390097
48225,23161,"Houston County, TX",7.378134472736549e-05,-9.51440463978448
48227,35408,"Howard County, TX",0.00011279520979692402,-9.089936686141362
48229,3337,"Hudspeth County, TX",1.0630298663927233e-05,-11.451802269680819
48231,87079,"Hunt County, TX",0.00027739759585139934,-8.190058716842803
48233,21922,"Hutchinson County, TX",6.98344043484006e-05,-9.569383770656524
48235,1573,"Irion County, TX",5.010925920994167e-06,-12.203889845373915
